trade_date,positions,daily_return,equity
20250818,10,0.0018826842308044204,2.01047507385623
20250819,10,0.00877233743667601,2.028111639612123
20250820,10,0.00795822143554689,2.0442518011361663
20250821,10,0.015171122550964372,2.0752653957362326
20250822,10,0.012873208522796631,2.1019807199156895
20250825,10,0.005165117979049649,2.112837698323742
20250826,10,-0.03185509443283076,2.0455330539223944
20250827,10,0.0090248584747314,2.063993700239429
20250828,10,0.0005163013935088899,2.0650593430630564
20250829,10,-0.0019317269325256296,2.061070212312798
20250901,10,-0.01219480633735655,2.035935860225949
20250902,10,-0.024502009153366058,1.9860513411430265
20250903,10,-0.0038865089416503804,1.9783325348470973
20250904,10,0.01858307123184203,2.0150960292624314
20250905,10,0.01587342619895931,2.0470825073667442
20250908,10,0.00497715473175048,2.0572711537545683
20250909,10,0.0004149794578552201,2.0581248790226145
20250910,10,0.0002419710159301901,2.058622885590503
20250911,10,-0.0009348273277282601,2.056698428659566
20250912,10,0.00232953429222108,2.061489578177886
20250915,10,0.0028336465358734003,2.0673311109798287
20250916,10,-0.00255122780799864,2.0620568783611564
20250917,10,-0.02114900350570674,2.0184464302117298
20250918,10,-0.00892010331153868,2.0004416795254345
20250919,10,-0.01242631077766414,1.975583569523059
20250922,10,-0.01527629494667052,1.9454039722232286
20250923,10,0.014544653892517061,1.9736991996803435
20250924,10,0.0006697952747345207,1.9750211740780368
20250925,10,0.01243848204612732,1.999587439492528
20250926,10,0.00790188312530515,2.015387945738226
20250929,10,0.020594537258148183,2.0568939278763545
20250930,10,0.040200865268707225,2.1395828435429336
20251009,10,0.02141712903976437,2.185406565394359
20251010,10,0.016958695650100726,2.2224682102086137
20251013,10,0.007254856824874881,2.238591898871513
20251014,10,-0.00992062687873839,2.2163836639090424
20251015,10,-0.0015979647636413282,2.212841960911405
20251016,10,-0.006740993261337249,2.197925208164497
20251017,10,0.0056171894073486104,2.210271370361943
20251020,10,0.007681185007095309,2.227248873673579
20251021,10,-0.0010121703147888,2.22499451848
20251022,10,0.021753263473510732,2.2733954104676126
20251023,10,-0.02630110979080198,2.2136025881789987
20251024,10,-0.00772273540496826,2.1965075210987393
20251027,10,-0.008444714546203609,2.177958642084471
20251028,10,0.017892366647720308,2.2169274766522173
20251029,10,-0.010740351676940908,2.1931168959106992
20251030,10,-0.004064440727233901,2.184203102279375
20251031,10,0.009949004650115952,2.2059337491007502
20251103,10,-0.0049915850162506,2.1949226432518976
20251104,10,0.0036932587623595995,2.2030290605367893
20251105,10,-0.0015394210815429603,2.199637671157747
20251106,10,0.00073139667510989,2.2012464788368784
20251107,10,0.0074992179870605104,2.2177541060249255
20251110,10,0.013996142148971541,2.248794107744316
20251111,10,0.0017679810523986892,2.2527699331175537
20251112,10,0.0288399040699005,2.3177396018802203
20251113,10,0.01757580637931825,2.3584757443605455
20251114,10,0.018349003791809072,2.4017514247367067
20251117,10,-0.015115469694137542,2.365447823863247
20251118,10,-0.028984904289245578,2.2968855450873664
20251119,10,-0.0007179856300353711,2.295236414272158
20251120,10,-0.028886568546295142,2.2289349102613327
20251121,10,0.0056041896343231095,2.241426284181
20251124,10,0.03129343986511226,2.3115682228171006
20251125,10,0.00980494022369387,2.334233011064813
20251126,10,0.010000216960906961,2.357575847612772
20251127,10,0.00947420597076412,2.3799120067847546
20251128,10,0.02407164573669431,2.4372004054965823
20251201,10,0.007823264598846429,2.456267269149198
20251202,10,0.002933359146118179,2.4634723832084675
20251203,10,0.0064903438091278185,2.4794611659397816
20251204,10,0.026036429405212353,2.5440174815497385
20251205,10,0.01392993927001952,2.5794554905695946
20251208,10,-0.013823473453521699,2.543798456071165
20251209,10,0.02137151360511777,2.5981632793837677
20251210,10,-0.00940442085266113,2.5737290584605126
20251211,10,-0.0095744788646698,2.549086943986896
20251212,10,-0.00654919147491455,2.5323924855045212
20251215,10,-0.01749923825263974,2.488077546051483
20251216,10,0.002927082777023299,2.4953603549844288
20251217,10,-0.0021307706832885904,2.490043314295787
20251218,10,0.0132879078388214,2.523130780370823
20251219,10,0.00356109738349914,2.532115894791028
20251222,10,-0.01602343320846556,2.49154270487475
20251223,10,0.016418623924255377,2.532450407537311
20251224,10,-0.0009371876716613695,2.530077026236273
20251225,10,0.01390063762664796,2.5652467101454905
20251226,10,-0.01678433418273926,2.522190752101236
20251229,10,-0.0034791052341460902,2.513415785054086
